cell_id,step,time,mother_maturity,daughter_maturity,mtoc_activity,cilium_present,phase,cycle_progress,cycle_count,growth_signal,stress_level
4294967296,1,0.050000,1.000000,0.000500,0.999875,0,G1,0.000000,0,0.900000,0.001763
4294967297,1,0.050000,1.000000,0.000500,0.999875,0,G1,0.000000,0,0.900000,0.000000
4294967298,1,0.050000,1.000000,0.000500,0.999875,0,G1,0.000000,0,0.900000,0.000716
4294967299,1,0.050000,1.000000,0.000500,0.999875,0,G1,0.000000,0,0.900000,0.001692
4294967300,1,0.050000,1.000000,0.000500,0.999875,0,G1,0.000000,0,0.900000,0.000000
4294967301,1,0.050000,1.000000,0.000500,0.999875,0,G1,0.000000,0,0.900000,0.000000
4294967302,1,0.050000,1.000000,0.000500,0.999875,0,G1,0.000000,0,0.900000,0.001210
4294967303,1,0.050000,1.000000,0.000500,0.999875,0,G1,0.000000,0,0.900000,0.000000
4294967304,1,0.050000,1.000000,0.000500,0.999875,0,G1,0.000000,0,0.900000,0.001483
4294967305,1,0.050000,1.000000,0.000500,0.999875,0,G1,0.000000,0,0.900000,0.000000
4294967296,11,0.550000,1.000000,0.005500,0.998625,0,G1,0.000000,0,0.900000,0.010906
4294967297,11,0.550000,1.000000,0.005500,0.998625,0,G1,0.000000,0,0.900000,0.007006
4294967298,11,0.550000,1.000000,0.005500,0.998625,0,G1,0.000000,0,0.900000,0.000000
4294967299,11,0.550000,1.000000,0.005500,0.998625,0,G1,0.000000,0,0.900000,0.000115
4294967300,11,0.550000,1.000000,0.005500,0.998625,0,G1,0.000000,0,0.900000,0.000000
4294967301,11,0.550000,1.000000,0.005500,0.998625,0,G1,0.000000,0,0.900000,0.005292
4294967302,11,0.550000,1.000000,0.005500,0.998625,0,G1,0.048535,0,0.900000,0.001988
4294967303,11,0.550000,1.000000,0.005500,0.998625,0,G1,0.000000,0,0.900000,0.000813
4294967304,11,0.550000,1.000000,0.005500,0.998625,1,G1,0.000000,0,0.900000,0.000000
4294967305,11,0.550000,1.000000,0.005500,0.998625,0,G1,0.000000,0,0.900000,0.006345
4294967296,21,1.050000,1.000000,0.010500,0.997375,0,G1,0.000000,0,0.900000,0.011117
4294967297,21,1.050000,1.000000,0.010500,0.997375,0,G1,0.000000,0,0.900000,0.000773
4294967298,21,1.050000,1.000000,0.010500,0.997375,0,G1,0.068434,0,0.900000,0.006326
4294967299,21,1.050000,1.000000,0.010500,0.997375,0,G1,0.000000,0,0.900000,0.000000
4294967300,21,1.050000,1.000000,0.010500,0.997375,0,G1,0.000000,0,0.900000,0.001333
4294967301,21,1.050000,1.000000,0.010500,0.997375,0,G1,0.000000,0,0.900000,0.003538
4294967302,21,1.050000,1.000000,0.010500,0.997375,0,G1,0.138690,0,0.900000,0.005206
4294967303,21,1.050000,1.000000,0.010500,0.997375,0,G1,0.000000,0,0.900000,0.000122
4294967304,21,1.050000,1.000000,0.010500,0.997375,1,G1,0.000000,0,0.900000,0.004825
4294967305,21,1.050000,1.000000,0.010500,0.997375,0,G1,0.000000,0,0.900000,0.006496
4294967296,31,1.550000,1.000000,0.015500,0.996125,0,G1,0.000000,0,0.900000,0.012220
4294967297,31,1.550000,1.000000,0.015500,0.996125,0,G1,0.000000,0,0.900000,0.000000
4294967298,31,1.550000,1.000000,0.015500,0.996125,0,G1,0.158734,0,0.900000,0.000000
4294967299,31,1.550000,1.000000,0.015500,0.996125,0,G1,0.000000,0,0.900000,0.001648
