cell_id,step,time,mother_maturity,daughter_maturity,mtoc_activity,cilium_present,phase,cycle_progress,cycle_count,growth_signal,stress_level
4294967296,61,3.050000,1.000000,0.030500,0.992375,0,G1,0.000000,0,0.900000,0.015826
4294967297,61,3.050000,1.000000,0.030500,0.992375,0,G1,0.000000,0,0.900000,0.005174
4294967298,61,3.050000,1.000000,0.030500,0.992375,0,G1,0.427669,0,0.900000,0.005724
4294967299,61,3.050000,1.000000,0.030500,0.992375,0,G1,0.000000,0,0.900000,0.001730
4294967300,61,3.050000,1.000000,0.030500,0.992375,0,G1,0.302182,0,0.900000,0.006917
4294967301,61,3.050000,1.000000,0.030500,0.992375,0,G1,0.174560,0,0.900000,0.016736
4294967302,61,3.050000,1.000000,0.030500,0.992375,0,G1,0.493133,0,0.900000,0.010105
4294967303,61,3.050000,1.000000,0.030500,0.992375,0,G1,0.192428,0,0.900000,0.014758
4294967304,61,3.050000,1.000000,0.030500,0.992375,1,G1,0.000000,0,0.900000,0.026005
4294967305,61,3.050000,1.000000,0.030500,0.992375,0,G1,0.000000,0,0.900000,0.000000
4294967296,71,3.550000,1.000000,0.035500,0.991125,0,G1,0.000000,0,0.900000,0.014378
4294967297,71,3.550000,1.000000,0.035500,0.991125,0,G1,0.043149,0,0.900000,0.006497
4294967298,71,3.550000,1.000000,0.035500,0.991125,0,G1,0.514993,0,0.900000,0.003398
4294967299,71,3.550000,1.000000,0.035500,0.991125,0,G1,0.000000,0,0.900000,0.002534
4294967300,71,3.550000,1.000000,0.035500,0.991125,0,G1,0.390121,0,0.900000,0.003932
4294967301,71,3.550000,1.000000,0.035500,0.991125,0,G1,0.261074,0,0.900000,0.020168
4294967302,71,3.550000,1.000000,0.035500,0.991125,0,G1,0.583619,0,0.900000,0.009711
4294967303,71,3.550000,1.000000,0.035500,0.991125,0,G1,0.279083,0,0.900000,0.016552
4294967304,71,3.550000,1.000000,0.035500,0.991125,1,G1,0.000000,0,0.900000,0.021340
4294967305,71,3.550000,1.000000,0.035500,0.991125,0,G1,0.000000,0,0.900000,0.003050
4294967296,81,4.050000,1.000000,0.040500,0.989875,0,G1,0.000000,0,0.900000,0.017828
4294967297,81,4.050000,1.000000,0.040500,0.989875,0,G1,0.130629,0,0.900000,0.006730
4294967298,81,4.050000,1.000000,0.040500,0.989875,0,G1,0.602118,0,0.900000,0.005459
4294967299,81,4.050000,1.000000,0.040500,0.989875,0,G1,0.000000,0,0.900000,0.003162
4294967300,81,4.050000,1.000000,0.040500,0.989875,0,G1,0.473457,0,0.900000,0.007922
4294967301,81,4.050000,1.000000,0.040500,0.989875,0,G1,0.349834,0,0.900000,0.019906
4294967302,81,4.050000,1.000000,0.040500,0.989875,0,G1,0.673731,0,0.900000,0.005579
4294967303,81,4.050000,1.000000,0.040500,0.989875,0,G1,0.367742,0,0.900000,0.018254
4294967304,81,4.050000,1.000000,0.040500,0.989875,1,G1,0.000000,0,0.900000,0.017771
4294967305,81,4.050000,1.000000,0.040500,0.989875,0,G1,0.000000,0,0.900000,0.005551
4294967296,91,4.550000,1.000000,0.045500,0.988625,0,G1,0.000000,0,0.900000,0.008573
4294967297,91,4.550000,1.000000,0.045500,0.988625,0,G1,0.217300,0,0.900000,0.008139
4294967298,91,4.550000,1.000000,0.045500,0.988625,0,G1,0.689213,0,0.900000,0.001757
4294967299,91,4.550000,1.000000,0.045500,0.988625,0,G1,0.000000,0,0.900000,0.009652
4294967300,91,4.550000,1.000000,0.045500,0.988625,0,G1,0.559313,0,0.900000,0.004994
4294967301,91,4.550000,1.000000,0.045500,0.988625,0,G1,0.435605,0,0.900000,0.016461
4294967302,91,4.550000,1.000000,0.045500,0.988625,0,G1,0.762455,0,0.900000,0.000000
4294967303,91,4.550000,1.000000,0.045500,0.988625,0,G1,0.450458,0,0.900000,0.013225
4294967304,91,4.550000,1.000000,0.045500,0.988625,1,G1,0.000000,0,0.900000,0.014501
4294967305,91,4.550000,1.000000,0.045500,0.988625,0,G1,0.000000,0,0.900000,0.007507
4294967296,101,5.050000,1.000000,0.050500,0.987375,0,G1,0.040370,0,0.900000,0.012907
4294967297,101,5.050000,1.000000,0.050500,0.987375,0,G1,0.304879,0,0.900000,0.010534
4294967298,101,5.050000,1.000000,0.050500,0.987375,0,G1,0.776949,0,0.900000,0.003383
4294967299,101,5.050000,1.000000,0.050500,0.987375,0,G1,0.016072,0,0.900000,0.004389
4294967300,101,5.050000,1.000000,0.050500,0.987375,0,G1,0.643957,0,0.900000,0.002473
4294967301,101,5.050000,1.000000,0.050500,0.987375,0,G1,0.523453,0,0.900000,0.013971
4294967302,101,5.050000,1.000000,0.050500,0.987375,0,G1,0.851119,0,0.900000,0.006159
4294967303,101,5.050000,1.000000,0.050500,0.987375,0,G1,0.536573,0,0.900000,0.011758
4294967304,101,5.050000,1.000000,0.050500,0.987375,1,G1,0.000000,0,0.900000,0.015786
4294967305,101,5.050000,1.000000,0.050500,0.987375,0,G1,0.000000,0,0.900000,0.016539
